WordEnglish;WordTranscript
Hand;-S-K-
I;-N-
Name;-T-K-
Night;-N-K-
Nose;-K-N-K-
Sun;-S-K-N-K-
Three;-P-N-S-T-
Tongue;-K-K-
Tooth;-K-H-T-
Two;-M-R-L-K-
Water;-M-K-
Who;-K-N-
Wind;-N-R-
You (thou);-L-T-
Death;-M-R-W-
Ear;-K-N-
Eye;-KH-
Four;-C-R-
Hand;-N-TH-
I;-H-
Name;-N-M-
Night;-R-T-
Nose;-N-K-
Sun;-S-R-D-
Three;-T-R-N-
Tongue;-ZH-B-
Tooth;-D-T-
Two;-B-
Water;-P-N-
Who;-K-N-
Wind;-P-V-N-
You (thou);-T-
Death;-M-R-P-
Ear;-K-N-
Eye;-J-K-
Four;-SH-T-R-
Hand;-V-S-T-
I;-M-
Name;-N-V-
Night;-R-T-
Nose;-N-K-
Sun;-KH-M-
Three;-T-R-N-
Tongue;-CH-B-
Tooth;-D-N-D-
Two;-D-
Water;-P-N-
Who;-K-N-
Wind;-B-L-V-L-
You (thou);-T-
Death;-M-T-
Ear;-K-N-
Eye;-D-
Four;-H-D-
Hand;-H-N-
I;-N-
Name;-S-N-
Night;-D-R-
Nose;-H-N-C-
Sun;-R-N-
Three;-K-
Tongue;-H-R-SH-
Tooth;-H-K-R-
Two;-B-J-
Water;-R-W-
Who;-W-N-D-
Wind;-S-K-
You (thou);-K-
Death;-M-V-T-
Ear;-Z-N-
Eye;-7-N-
Four;-R-B-
Hand;-J-D-
I;-N-
Name;-SH-M-
Night;-L-L-
Nose;-F-
Sun;-SH-M-SH-
Three;-SH-L-SH-
Tongue;-L-SH-N-
Tooth;-SH-N-
Two;-SH-T-J-M-
Water;-M-J-M-
Who;-M-
Wind;-R-KH-
You (thou);-T-
Death;-M-T-
Ear;-K-N-
Eye;-N-KH-
Four;-CH-R-
Hand;-H-TH-
I;-M-N-
Name;-N-M-
Night;-R-T-
Nose;-N-K-
Sun;-S-R-J-
Three;-T-N-
Tongue;-ZH-B-
Tooth;-D-N-T-
Two;-D-
Water;-P-N-
Who;-K-N-
Wind;-H-V-
You (thou);-T-
Death;-K-
Ear;-S-T-M-N-
Eye;-S-K-
Four;-M-J-W-
Hand;-K-S-R-
I;-K-
Name;-L-M-N-
Night;-SH-P-N-T-
Nose;-T-T-T-N-
Sun;-S-T-N-
Three;-T-R-S-
Tongue;-L-L-
Tooth;-G-G-
Two;-D-N-
Water;-V-T-R-
Who;-K-
Wind;-H-W-N-Z-
You (thou);-Z-K-
Death;-H-L-L-
Ear;-F-L-
Eye;-S-M-
Four;-N-G-
Hand;-K-Z-
I;-N-
Name;-N-V-
Night;-S-K-
Nose;-R-
Sun;-N-P-
Three;-H-R-M-
Tongue;-N-L-V-
Tooth;-F-G-
Two;-K-T-
Water;-V-Z-
Who;-K-
Wind;-S-L-
You (thou);-T-
Death;-L-L-
Ear;-N-
Eye;-SH-
Four;-T-M-N-
Hand;-SH-N-
I;-SH-
Name;-T-J-
Nose;-P-N-
Sun;-SH-M-G-
Three;-K-G-
Tongue;-R-D-
Tooth;-SH-R-N-
Two;-SH-N-
Water;-SH-
Who;-V-
You (thou);-F-
Death;-D-TH-
Ear;-R-
Eye;-G-
Four;-F-R-
Hand;-H-N-D-
I;-G-
Name;-N-F-N-
Night;-N-T-
Nose;-N-F-
Sun;-S-L-
Three;-TH-R-R-
Tongue;-T-N-G-
Tooth;-T-N-
Two;-T-V-R-
Water;-V-T-N-
Who;-H-V-R-
Wind;-V-N-D-
You (thou);-TH-
Death;-N-W-
Ear;-N-T-
Eye;-N-
Four;-N-
Hand;-L-
I;-M-
Name;-F-
Night;-B-L-
Nose;-M-
Sun;-N-ZH-
Three;-T-
Tongue;-R-
Tooth;-Z-
Two;-B-
Water;-M-R-
Who;-K-N-
Wind;-K-K-
You (thou);-G-
Death;-M-T-
Ear;-T-L-N-G-
Eye;-M-T-
Four;-M-P-T-
Hand;-T-N-G-N-
I;-S-J-
Night;-M-L-M-
Nose;-H-D-N-G-
Sun;-M-T-H-R-
Three;-T-G-
Tongue;-L-D-
Tooth;-G-G-
Two;-D-
Water;-R-
Who;-S-P-
Wind;-N-G-N-
You (thou);-G-K-
Death;-M-R-
Ear;-K-L-S-
Eye;-S-L-
Four;-K-TH-R-
Hand;-L-V-
I;-M-
Name;-N-M-
Night;-KH-
Nose;-S-R-N-
Sun;-G-R-N-
Three;-T-R-
Tongue;-T-N-G-
Tooth;-F-K-L-
Two;-D-
Water;-S-K-
Who;-K-
Wind;-G-TH-
You (thou);-T-
Ear;-G-L-
Eye;-C-M-
Four;-C-B-R-
Hand;-D-S-T-
I;-Z-
Name;-N-M-
Night;-S-B-
Sun;-R-M-S-
Three;-R-
Tongue;-Z-V-K-
Tooth;-D-N-D-
Two;-D-
Water;-V-L-
Who;-K-J-
Death;-M-R-
Ear;-R-K-L-
Eye;-K-L-
Four;-P-T-R-
Hand;-M-R-
I;-J-
Name;-N-M-
Night;-N-P-T-
Nose;-N-S-
Sun;-S-R-
Three;-T-R-
Tongue;-L-M-B-
Tooth;-D-N-T-
Two;-D-
Water;-P-
Who;-CH-R-
You (thou);-T-
Death;-M-R-
Ear;-R-K-
Eye;-K-
Four;-K-T-R-
Hand;-M-N-
I;-J-
Name;-N-M-
Night;-N-T-
Nose;-N-Z-
Sun;-S-L-
Three;-T-R-
Tongue;-L-N-G-
Tooth;-D-N-T-
Two;-D-
Water;-K-
Who;-K-
Wind;-V-N-T-
You (thou);-T-
Death;-SH-
Ear;-M-M-
Eye;-M-
Hand;-T-
I;-W-T-SH-
Name;-N-M-
Night;-J-R-
Nose;-H-N-
Tongue;-SH-T-
Tooth;-H-
Two;-N-
Water;-M-Z-
Who;-D-R-
Wind;-K-Z-
You (thou);-N-T-
Death;-M-T-
Ear;-K-P-N-G-
Eye;-M-T-
Four;-P-P-T-
Hand;-T-N-G-N-
I;-K-
Name;-N-G-G-N-
Night;-G-B-
Nose;-R-N-G-
Sun;-S-R-
Three;-T-L-
Tongue;-L-T-
Tooth;-B-L-K-
Two;-L-R-
Water;-D-N-M-
Who;-S-P-
Wind;-P-D-K-
You (thou);-K-W-
Death;-T-L-N-
Ear;-T-H-K-M-
Eye;-N-
Four;-P-L-
Hand;-J-
I;-S-
Name;-C-
Night;-ZH-SH-
Nose;-P-
Sun;-D-KH-
Three;-SH-
Tongue;-B-Z-G-
Tooth;-C-
Two;-T-
Water;-P-S-
Who;-KH-T-
Wind;-P-SH-
You (thou);-W-
Death;-M-T-
Ear;-M-Z-R-
Eye;-T-C-
Hand;-F-S-
I;-N-K-
Name;-S-M-
Night;-D-
Nose;-N-Z-R-
Sun;-C-ZH-
Tongue;-L-S-
Tooth;-T-M-S-T-
Two;-S-N-
Water;-M-N-
Who;-N-W-
Wind;-D-
You (thou);-K-CH-
Ear;-K-
Eye;-CH-
Four;-CH-V-
Hand;-B-Z-
I;-#-
Name;-N-M-
Night;-R-T-
Nose;-N-S-T-
Sun;-S-R-
Three;-T-R-
Tongue;-ZH-P-
Tooth;-D-N-
Two;-D-
Water;-K-
Who;-K-R-
Wind;-B-
You (thou);-T-
Death;-K-
Ear;-CH-K-N-
Eye;-N-D-N-
Four;-D-R-V-N-
Hand;-G-R-
I;-B-
Name;-N-R-
Night;-S-N-
Nose;-KH-M-R-
Sun;-N-R-N-
Three;-G-R-V-N-
Tongue;-K-L-
Tooth;-SH-D-N-
Two;-KH-J-R-
Water;-S-N-
Who;-K-N-
Wind;-S-L-K-N-
You (thou);-CH-
Death;-M-R-N-
Ear;-K-V-
Eye;-K-N-
Four;-N-L-K-
Hand;-K-J-
I;-N-N-
Name;-H-S-R-
Night;-R-T-R-
Nose;-M-G-
Sun;-S-R-J-
Three;-M-R-
Tongue;-N-L-G-
Tooth;-H-L-
Two;-R-D-
Water;-N-R-
Who;-J-R-
Wind;-G-L-
You (thou);-N-N-
Death;-K-L-
Ear;-K-R-V-
Eye;-S-L-M-
Four;-N-L-
Hand;-K-S-
I;-M-
Name;-N-M-
Night;-#-
Nose;-N-N-
Sun;-P-V-N-
Three;-K-L-M-
Tongue;-K-L-
Tooth;-H-M-S-
Two;-K-K-S-
Water;-V-S-
Who;-K-N-
Wind;-T-L-
You (thou);-S-
Death;-M-R-N-
Ear;-K-N-
Eye;-CH-
Four;-C-R-
Hand;-TH-
I;-B-
Name;-N-V-
Night;-R-TH-
Nose;-N-S-T-
Three;-T-R-
Tongue;-Z-V-
Tooth;-D-N-D-
Two;-Z-
Water;-P-N-
Who;-K-H-
Wind;-W-V-
You (thou);-C-
Death;-L-
Ear;-K-L-K-
Eye;-K-Z-
Four;-T-R-T-
Hand;-K-L-
I;-M-N-
Name;-T-
Night;-T-N-
Nose;-M-R-N-
Sun;-K-N-
Three;-SH-
Tongue;-T-L-
Tooth;-T-S-
Two;-K-
Water;-S-
Who;-K-M-
Wind;-ZH-L-
You (thou);-S-N-
Death;-K-R-
Ear;-G-D-
Eye;-D-S-
Hand;-H-N-
I;-T-
Name;-#-
Night;-S-
Nose;-L-N-
Sun;-#-
Tongue;-J-
Tooth;-T-
Two;-N-
Water;-L-
Who;-B-S-
Wind;-B-J-
You (thou);-#-
Death;-S-R-
Ear;-P-L-
Eye;-S-M-
Four;-N-L-
Hand;-K-T-
I;-M-
Name;-N-M-
Night;-T-
Nose;-N-L-
Sun;-KH-T-L-
Three;-K-L-M-
Tongue;-N-L-M-
Tooth;-P-N-K-
Two;-K-T-
Water;-J-N-K-
Who;-K-J-
Wind;-V-T-
You (thou);-N-N-
Death;-S-L-P-
Ear;-T-R-CH-K-
Eye;-P-N-K-
Four;-B-N-
Hand;-T-J-
I;-K-N-M-
Name;-C-M-H-
Night;-J-P-
Nose;-SH-R-M-
Sun;-T-N-
Three;-B-
Tongue;-N-D-T-
Tooth;-T-M-N-
Two;-P-
Water;-T-K-
Who;-N-N-
Wind;-K-L-
You (thou);-N-
Death;-B-R-
Ear;-K-R-
Eye;-G-CH-
Four;-CH-R-
Hand;-B-Z-
I;-W-
Name;-N-M-
Night;-CH-
Nose;-N-S-K-
Sun;-J-R-
Three;-T-R-
Tongue;-L-G-N-
Tooth;-D-N-
Two;-Z-
Water;-KH-
Who;-K-
Wind;-G-N-
You (thou);-T-
Ear;-H-T-
Eye;-J-
Four;-H-T-M-T-
Hand;-D-G-K-
I;-V-N-
Name;-T-K-
Nose;-K-N-K-
Three;-P-N-H-T-
Two;-M-L-R-K-
Water;-M-K-
Who;-K-N-
Wind;-N-R-
You (thou);-D-V-N-
Death;-K-V-N-
Ear;-P-L-
Eye;-S-N-
Four;-N-L-
Hand;-K-
I;-M-
Name;-N-M-
Night;-V-J-
Nose;-N-R-
Three;-K-M-
Tongue;-K-V-
Tooth;-P-N-
Two;-K-K-
Water;-V-
Who;-K-D-
Wind;-T-V-
You (thou);-T-
Death;-CH-G-M-
Ear;-K-W-
Eye;-N-N-
Four;-N-T-
Hand;-S-N-
I;-N-
Name;-R-M-
Night;-P-M-
Nose;-K-
Sun;-T-J-
Three;-S-T-
Tongue;-H-
Tooth;-S-K-S-
Two;-T-L-
Water;-M-L-
Who;-N-G-
Wind;-B-R-M-
You (thou);-N-
Death;-M-R-
Ear;-G-H-
Eye;-CH-V-
Four;-CH-R-
Hand;-D-S-T-
I;-Z-
Name;-N-V-
Night;-SH-V-
Nose;-D-F-N-
Sun;-R-ZH-
Three;-S-
Tongue;-Z-M-N-
Tooth;-D-D-N-
Two;-D-
Water;-V-
Who;-K-
Wind;-B-
You (thou);-T-
Death;-K-7-N-
Ear;-KH-B-D-
Eye;-KH-N-
Hand;-KH-K-
I;-N-
Night;-M-KH-
Nose;-M-
Sun;-B-R-
Tongue;-T-T-KH-
Two;-N-D-R-
Water;-M-
Wind;-T-K-
You (thou);-N-N-
Death;-L-
Ear;-K-L-K-
Eye;-K-Z-
Four;-T-R-T-
Hand;-K-L-
I;-M-N-
Name;-T-
Night;-T-N-
Nose;-M-R-N-
Sun;-K-N-
Three;-CH-
Tongue;-T-L-
Tooth;-T-SH-
Two;-K-
Water;-S-
Who;-K-M-
Wind;-ZH-L-
You (thou);-S-N-
Ear;-S-T-K-
Eye;-J-K-
Four;-S-T-M-T-
Hand;-G-K-
I;-V-K-
Name;-T-K-
Night;-N-K-
Nose;-K-N-K-
Sun;-S-K-N-K-
Three;-P-N-S-T-
Tongue;-K-K-
Tooth;-K-G-T-
Two;-M-G-K-
Water;-M-K-
Who;-K-N-
Wind;-N-G-K-
You (thou);-F-T-
Death;-M-R-
Ear;-R-L-
Eye;-L-
Four;-K-T-R-
Hand;-M-N-
I;-#-
Name;-N-M-
Night;-N-T-
Nose;-N-S-
Sun;-S-L-L-
Three;-T-R-S-
Tongue;-L-N-G-
Tooth;-D-N-T-
Two;-D-S-
Water;-V-
Who;-K-
Wind;-V-N-T-
You (thou);-T-
Death;-M-R-N-
Ear;-K-N-
Eye;-KH-
Four;-C-R-
Hand;-H-TH-
I;-M-
Name;-N-
Night;-R-T-
Nose;-N-K-
Sun;-S-R-
Three;-T-R-
Tongue;-ZH-B-
Tooth;-D-N-D-
Two;-D-
Water;-P-N-
Who;-K-N-
Wind;-H-V-
You (thou);-T-
Death;-L-T-L-
Ear;-V-CH-
Eye;-J-
Four;-D-
Hand;-K-
I;-N-
Name;-C-
Night;-KH-KH-
Nose;-M-J-
Sun;-B-R-G-
Three;-K-
Tongue;-M-Z-
Tooth;-K-R-CH-
Two;-K-V-
Water;-CH-N-
Who;-C-
Wind;-M-R-CH-
You (thou);-N-
Death;-T-
Ear;-H-
Eye;-T-
Four;-S-
Hand;-M-
I;-K-
Name;-S-
Night;-K-N-K-N-
Nose;-D-N-
Sun;-D-T-
Three;-S-M-
Tongue;-L-N-
Tooth;-K-W-
Two;-S-N-
Water;-N-M-
Who;-P-T-
Wind;-L-M-
You (thou);-M-N-
Death;-M-R-
Ear;-R-
Eye;-K-L-
Four;-K-T-R-
Hand;-M-N-
I;-G-
Name;-N-M-N-
Night;-N-K-S-
Nose;-N-R-S-
Sun;-S-L-
Three;-T-R-S-
Tongue;-L-N-G-
Tooth;-D-N-S-
Two;-D-
Water;-K-
Who;-K-
Wind;-V-N-T-
You (thou);-T-
Death;-M-R-S-T-
Ear;-S-
Eye;-C-
Four;-CH-T-R-
Hand;-R-K-
I;-S-
Name;-V-R-D-
Night;-N-K-C-
Nose;-D-G-S-
Sun;-S-L-
Three;-T-R-S-
Tongue;-M-L-
Tooth;-Z-B-
Two;-D-V-
Water;-D-N-
Who;-K-S-
Wind;-V-T-R-
You (thou);-T-
Death;-D-D-
Ear;-R-
Eye;-#-
Four;-F-R-
Hand;-H-N-D-
I;-KH-
Name;-N-M-
Night;-N-KH-T-
Nose;-N-S-
Sun;-S-N-
Three;-D-R-
Tongue;-Z-N-G-
Tooth;-C-N-T-
Two;-C-W-
Water;-V-S-R-
Who;-V-N-
Wind;-V-N-D-
You (thou);-D-
Death;-K-N-
Ear;-J-B-
Eye;-V-L-
Four;-K-D-
Hand;-G-L-
I;-Z-N-
Name;-T-V-R-
Night;-F-
Nose;-N-R-
Sun;-R-G-
Three;-P-D-
Tongue;-M-Z-
Tooth;-S-S-
Two;-K-V-D-
Water;-J-D-
Who;-V-ZH-
Wind;-G-R-
You (thou);-V-N-
Death;-M-R-T-
Ear;-S-
Eye;-K-
Four;-K-T-R-
Hand;-R-K-
I;-SH-
Name;-V-R-D-
Night;-N-K-T-
Nose;-N-S-
Sun;-S-L-
Three;-T-R-S-
Tongue;-L-ZH-V-
Tooth;-D-N-T-
Two;-D-
Water;-V-D-
Who;-K-S-
Wind;-V-T-R-
You (thou);-T-
Death;-W-L-T-
Ear;-T-M-N-
Eye;-T-W-
Four;-M-W-
Hand;-S-R-
I;-M-
Name;-T-M-N-Z-
Sun;-T-W-Z-
Three;-T-R-
Tongue;-L-L-
Water;-W-R-S-
Who;-K-
You (thou);-T-
Death;-L-T-
Eye;-T-W-
Hand;-Z-R-
I;-M-
Name;-D-M-
Three;-T-R-
Two;-K-B-
Who;-T-
Death;-S-M-R-T-
Ear;-V-
Eye;-K-
Four;-CH-T-R-
Hand;-R-K-
I;-J-S-
Name;-M-
Night;-N-CH-
Nose;-N-S-
Sun;-S-N-C-
Three;-T-R-
Tongue;-J-Z-K-
Tooth;-Z-B-
Two;-D-V-
Water;-V-D-
Who;-K-J-
Wind;-V-T-R-
You (thou);-T-
Death;-M-R-N-
Ear;-K-N-
Eye;-K-
Four;-C-R-
Hand;-H-T-
I;-H-M-
Name;-N-M-
Night;-R-T-
Nose;-N-K-
Sun;-S-R-
Three;-T-N-
Tongue;-ZH-B-
Tooth;-D-T-
Two;-D-
Water;-P-N-
Who;-K-N-
Wind;-H-V-
You (thou);-T-
Death;-M-T-
Ear;-S-F-N-
Eye;-M-S-
Four;-F-T-R-
Hand;-T-N-N-
I;-H-
Name;-N-R-N-
Night;-L-N-
Nose;-R-N-
Sun;-M-S-N-D-
Three;-T-L-
Tongue;-L-L-
Tooth;-N-F-
Two;-R-
Water;-R-N-
Who;-Z-
Wind;-R-V-T-R-
You (thou);-N-
Death;-M-R-N-M-
Ear;-C-V-
Eye;-K-N-
Four;-N-L-
Hand;-K-J-
I;-N-N-
Name;-P-R-
Night;-R-T-R-
Nose;-M-K-
Sun;-S-R-J-N-
Three;-M-N-
Tongue;-N-K-
Tooth;-P-L-
Two;-R-N-D-
Water;-N-R-
Who;-R-
Wind;-K-R-
You (thou);-N-
Death;-M-T-
Ear;-W-D-N-
Eye;-7-N-
Four;-R-B-
Hand;-D-
I;-J-N-
Name;-S-M-
Night;-L-L-
Nose;-M-N-KH-R-
Sun;-SH-M-SH-
Three;-T-L-T-
Tongue;-L-S-N-
Tooth;-S-N-
Two;-T-N-N-
Water;-L-M-
Who;-M-N-
Wind;-R-H-
You (thou);-N-T-
Death;-B-C-
Ear;-SH-N-
Eye;-J-S-
Four;-D-N-
Hand;-G-L-
I;-B-
Name;-G-B-
Night;-D-B-R-
Nose;-F-R-
Sun;-SH-N-
Three;-L-N-
Tongue;-L-N-G-
Tooth;-W-H-
Two;-J-W-
Water;-M-K-
Who;-W-
Wind;-D-N-
You (thou);-S-
Death;-KH-L-
Ear;-P-L-
Eye;-S-M-
Four;-N-L-
Hand;-K-T-
I;-M-
Name;-N-M-
Night;-T-
Nose;-N-L-
Sun;-KH-T-L-
Three;-KH-R-M-
Tongue;-N-L-M-
Tooth;-P-N-K-
Two;-K-T-
Water;-V-T-
Who;-KH-N-KH-
Wind;-V-T-
You (thou);-N-N-
Death;-M-T-
Ear;-T-R-G-
Eye;-M-T-
Four;-F-
Hand;-R-G-
I;-#-
Name;-G-
Night;-P-
Nose;-H-
Sun;-R-
Three;-T-R-
Tongue;-R-R-
Tooth;-N-H-
Two;-R-
Water;-W-
Who;-#-
Wind;-T-
You (thou);-#-
Death;-M-R-N-
Ear;-K-N-
Eye;-D-L-
Four;-T-R-
Hand;-H-T-
I;-M-
Name;-N-W-
Night;-R-T-R-
Nose;-N-K-
Sun;-S-R-
Three;-T-N-
Tongue;-ZH-B-
Tooth;-D-T-
Two;-D-N-
Water;-P-N-
Who;-K-N-
Wind;-H-V-
You (thou);-T-
Death;-K-L-M-SH-
Ear;-P-L-SH-
Eye;-SH-N-CH-
Four;-N-L-
Hand;-K-D-
I;-M-
Name;-L-M-
Night;-D-
Nose;-N-R-
Sun;-K-CH-
Three;-K-M-
Tongue;-L-M-
Tooth;-P-J-
Two;-K-K-
Water;-V-D-
Who;-K-
Wind;-M-R-D-ZH-
You (thou);-T-
Death;-M-R-
Ear;-K-N-
Eye;-KH-
Four;-CH-R-
Hand;-H-T-
I;-M-
Name;-B-N-M-
Night;-R-T-
Nose;-N-K-
Sun;-S-R-
Three;-T-N-
Tongue;-ZH-B-
Tooth;-D-T-
Two;-D-
Water;-P-N-
Who;-K-N-
Wind;-P-N-
You (thou);-T-
Death;-M-R-D-
Ear;-G-SH-
Eye;-CH-SH-M-
Four;-CH-H-R-
Hand;-D-S-T-
I;-Z-
Name;-N-M-
Night;-SH-B-
Nose;-V-N-G-
Sun;-KH-V-R-
Three;-S-
Tongue;-Z-V-N-
Tooth;-D-N-D-
Two;-D-
Water;-B-
Who;-K-SH-D-N-
Wind;-V-D-
You (thou);-T-
Death;-CH-T-
Ear;-K-T-
Eye;-M-T-
Four;-P-N-
Hand;-T-J-
I;-#-
Name;-C-M-
Night;-B-T-M-
Nose;-M-H-
Sun;-N-
Three;-P-
Tongue;-K-T-K-
Tooth;-N-K-
Two;-B-
Water;-D-K-
Who;-N-H-
Wind;-C-
You (thou);-P-H-
Death;-KH-L-
Ear;-CH-KH-
Eye;-N-D-
Four;-D-R-V-
Hand;-G-R-
I;-B-
Name;-N-R-
Night;-SH-N-
Nose;-KH-M-
Sun;-N-R-
Three;-G-R-V-
Tongue;-KH-L-
Tooth;-SH-D-
Two;-KH-R-
Water;-S-
Who;-KH-N-
Wind;-S-L-KH-
You (thou);-T-
Ear;-W-
Eye;-K-
Four;-K-T-R-
Hand;-K-
Nose;-R-
Three;-T-R-
Two;-D-V-
Water;-D-
Wind;-N-M-
Death;-SH-B-
Ear;-H-J-
Eye;-F-
Hand;-K-CH-
I;-N-
Name;-S-M-
Night;-G-T-
Nose;-S-N-
Sun;-SH-ZH-
Tongue;-J-L-B-
Tooth;-CH-
Two;-T-G-N-
Water;-H-J-
You (thou);-J-T-
Death;-KH-
Eye;-S-V-
I;-M-N-
Name;-N-M-
Nose;-N-R-
Tongue;-SH-
Two;-SH-CH-
Water;-V-T-
Who;-KH-B-
Death;-M-R-T-
Ear;-K-N-
Eye;-N-KH-
Four;-CH-R-
Hand;-H-T-
I;-M-
Name;-N-M-
Night;-R-T-
Nose;-N-K-
Sun;-S-R-
Three;-T-N-
Tongue;-ZH-V-R-
Tooth;-D-T-
Two;-D-
Water;-P-N-
Who;-K-
Wind;-B-T-S-
You (thou);-T-
Death;-D-D-
Ear;-R-
Eye;-J-
Four;-F-R-
Hand;-H-N-D-
I;-J-G-
Name;-N-V-N-
Night;-N-T-
Nose;-N-S-
Sun;-S-L-
Three;-T-R-
Tongue;-T-N-G-
Tooth;-T-N-
Two;-T-
Water;-V-N-
Who;-V-M-
Wind;-V-N-D-
You (thou);-D-
Death;-D-D-
Ear;-R-
Eye;-G-
Four;-F-R-
Hand;-H-N-D-
I;-G-
Name;-N-M-N-
Night;-N-T-
Nose;-N-S-
Sun;-S-L-
Three;-T-R-
Tongue;-T-N-G-
Tooth;-T-N-
Two;-T-
Water;-V-T-N-
Who;-K-V-N-
Wind;-V-N-D-
You (thou);-D-
Death;-S-M-R-T-
Ear;-KH-
Eye;-K-
Four;-CH-T-R-
Hand;-R-K-
I;-Z-
Name;-M-
Night;-N-CH-
Nose;-N-S-
Sun;-S-L-N-C-
Three;-T-R-
Tongue;-J-Z-K-
Tooth;-Z-B-
Two;-D-V-
Water;-V-D-
Who;-K-T-
Wind;-V-T-R-
You (thou);-T-
Death;-M-W-T-
Ear;-M-S-D-R-
Eye;-J-R-T-
Four;-J-F-D-W-
Hand;-D-T-
I;-J-N-K-
Name;-M-
Night;-G-R-H-
Nose;-F-N-D-
Sun;-R-
Three;-KH-M-T-W-
Tongue;-N-S-
Tooth;-B-KH-
Two;-S-N-W-
Water;-M-W-
Who;-M-
Wind;-T-W-
You (thou);-N-T-K-
Death;-D-TH-
Ear;-R-
Eye;-G-
Four;-F-R-
Hand;-H-N-D-
I;-K-
Name;-N-M-
Night;-N-KH-T-
Nose;-N-S-
Sun;-S-N-
Three;-TH-R-
Tongue;-T-N-G-
Tooth;-T-TH-
Two;-T-W-
Water;-W-T-R-
Who;-H-W-
Wind;-W-N-D-
You (thou);-TH-
Death;-T-T-
Ear;-R-
Eye;-G-
Four;-F-R-
Hand;-H-N-T-
I;-KH-
Name;-N-M-
Night;-N-H-T-
Nose;-N-S-
Sun;-S-N-
Three;-D-R-
Tongue;-C-N-G-
Tooth;-Z-N-
Two;-C-V-N-
Water;-V-Z-R-
Who;-V-R-
Wind;-V-N-T-
You (thou);-D-
Death;-M-R-
Ear;-K-L-S-
Eye;-S-L-
Four;-K-TH-R-
Hand;-L-M-
I;-M-
Name;-N-M-
Night;-D-G-
Nose;-S-R-N-
Sun;-G-R-N-
Three;-T-R-
Tongue;-T-N-G-
Tooth;-F-K-L-
Two;-D-
Water;-S-K-
Who;-K-
Wind;-G-TH-
You (thou);-T-
Death;-D-TH-
Ear;-R-
Eye;-G-
Four;-F-R-
Hand;-H-N-D-
I;-K-
Name;-N-F-N-
Night;-N-T-
Nose;-N-S-
Sun;-S-L-
Three;-TH-R-R-
Tongue;-T-N-G-
Tooth;-T-N-
Two;-T-V-R-
Water;-V-T-N-
Who;-H-V-R-
Wind;-V-N-D-
You (thou);-TH-
Death;-M-R-
Ear;-G-SH-
Eye;-CH-SH-
Hand;-D-S-T-
I;-M-M-
Name;-N-M-
Night;-KH-SH-P-
Nose;-N-H-
Three;-CH-
Tongue;-H-Z-N-
Two;-D-V-
Water;-P-
Who;-K-
Wind;-V-T-
You (thou);-T-V-M-
Death;-M-R-
Ear;-K-N-
Eye;-KH-
Four;-C-R-
Hand;-H-T-
I;-M-
Name;-N-M-
Night;-R-T-
Nose;-N-K-
Sun;-S-R-ZH-
Three;-T-N-
Tongue;-ZH-B-
Tooth;-D-N-T-
Two;-D-
Water;-P-N-
Who;-K-H-
Wind;-P-B-N-
You (thou);-T-M-
Death;-D-
Ear;-G-R-
Eye;-J-
Four;-F-R-
Hand;-H-R-K-
I;-N-
Name;-M-K-
Night;-L-K-N-
Nose;-F-N-
Sun;-D-
Three;-S-D-
Tongue;-R-B-
Tooth;-L-K-
Two;-L-M-
Water;-M-D-
Who;-N-
Wind;-B-B-
You (thou);-S-
Death;-B-
Ear;-SH-N-
Eye;-J-SH-
Four;-D-J-N-
Hand;-N-L-
I;-B-
Name;-G-R-B-
Night;-D-L-B-
Nose;-N-K-T-
Sun;-SH-W-N-
Three;-L-N-
Tongue;-N-
Tooth;-K-T-
Two;-ZH-R-
Water;-M-
Who;-N-
Wind;-D-N-
You (thou);-SH-
Four;-P-T-R-
Hand;-M-N-
I;-V-
Name;-N-M-N-
Three;-T-R-
Tongue;-F-N-G-
Tooth;-D-N-T-
Two;-D-V-
Water;-P-
Who;-P-
You (thou);-T-
Death;-M-L-
Ear;-R-S-
Eye;-C-S-T-
Four;-C-P-R-
Hand;-K-KH-
I;-Z-
Name;-N-M-
Night;-KH-S-V-
Nose;-F-ZH-
Sun;-KH-R-
Three;-R-T-
Tongue;-V-Z-G-
Tooth;-D-N-D-G-
Two;-D-V-
Water;-D-N-
Who;-K-
Wind;-D-N-G-
You (thou);-D-
Death;-M-R-D-
Ear;-KH-S-
Eye;-C-S-T-
Four;-C-P-R-
Hand;-K-KH-
I;-Z-
Name;-N-M-
Night;-KH-S-V-
Nose;-F-N-Z-
Sun;-KH-R-
Three;-R-T-
Tongue;-V-Z-G-
Tooth;-D-N-D-G-
Two;-D-V-
Water;-D-N-
Who;-CH-
Wind;-V-D-
You (thou);-D-
Death;-M-R-G-
Ear;-G-V-G-
Eye;-S-T-R-G-
Four;-C-L-R-
Hand;-L-S-
I;-Z-
Name;-N-M-
Night;-SH-P-
Nose;-P-Z-
Sun;-L-M-R-
Three;-D-R-
Tongue;-ZH-B-
Tooth;-G-Z-
Two;-D-V-
Water;-B-
Who;-C-K-
Wind;-B-D-
You (thou);-T-
Death;-T-D-
Ear;-R-
Eye;-K-
Four;-F-R-
Hand;-H-N-T-
I;-KH-
Name;-N-M-
Night;-N-KH-T-
Nose;-N-Z-
Sun;-S-N-
Three;-D-R-
Tongue;-Z-N-G-
Tooth;-Z-W-
Two;-C-V-
Water;-V-S-R-
Who;-V-R-
